ID;RegioS;Perioden;GemiddeldeWOZWaardeVanWoningen_98;Gemeentenaam;Provincienaam;Year
2285;GM0060;2018-01-01;     238;Ameland;Friesland;2018
2286;GM0060;2019-01-01;     246;Ameland;Friesland;2019
2287;GM0060;2020-01-01;     246;Ameland;Friesland;2020
2288;GM0060;2021-01-01;     263;Ameland;Friesland;2021
2289;GM0060;2022-01-01;     311;Ameland;Friesland;2022
2290;GM0060;2023-01-01;     343;Ameland;Friesland;2023
2320;GM0307;1995-01-01;       .;Amersfoort;Utrecht;1995
2321;GM0307;1996-01-01;       .;Amersfoort;Utrecht;1996
2322;GM0307;1997-01-01;      92;Amersfoort;Utrecht;1997
2323;GM0307;1998-01-01;      92;Amersfoort;Utrecht;1998
2324;GM0307;1999-01-01;      93;Amersfoort;Utrecht;1999
2325;GM0307;2000-01-01;      93;Amersfoort;Utrecht;2000
2326;GM0307;2001-01-01;     146;Amersfoort;Utrecht;2001
2327;GM0307;2002-01-01;     147;Amersfoort;Utrecht;2002
